ticker,date,open,high,low,close,volume,last_updated_at
BBCA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
TPIA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BREN.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BBRI.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
AMMN.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BMRI.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
DSSA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
TLKM.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
PANI.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
ASII.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BBNI.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BRPT.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
CUAN.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
ICBP.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BRIS.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
AMRT.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BNLI.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
ANTM.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
UNTR.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
CPIN.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
KLBF.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
INDF.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
ISAT.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
PGEO.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
ADRO.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
UNVR.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
AADI.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
MDKA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
CASA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
TBIG.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
MYOR.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BNGA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
ADMR.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
PGAS.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
EXCL.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
CMRY.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
INCO.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
MEDC.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
CBDK.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
MIKA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
PTBA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
INKP.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
NISP.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
PTRO.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
PNBN.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
SILO.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
JSMR.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
TCPI.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
ITMG.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
AKRA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
ARTO.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BDMN.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
FILM.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
SRTG.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
RATU.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
HEAL.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
INTP.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
MAPI.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
SMGR.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
TAPG.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
GGRM.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BSDE.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
TKIM.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
JPFA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
CTRA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BBTN.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
CMNT.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
APIC.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
ULTJ.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
SSMS.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
NICL.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BANK.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BFIN.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
HRUM.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
RAJA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
AALI.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
SMSM.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
TSPC.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BSSR.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
RISE.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BTPS.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
AUTO.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
JRPT.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BJBR.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
LSIP.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
STAA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
ABMM.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
TINS.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
DSNG.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
CMNP.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
INDY.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
PACK.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
TOBA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
SSIA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
CYBR.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BALI.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
ANJT.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
NOBU.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
ROTI.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BIRD.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
WIFI.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
CBUT.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
DRMA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
SGRO.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
MSTI.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
HEXA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
TBLA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
MPMX.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
MBSS.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
SMDM.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
PNIN.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
GJTL.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
LPPF.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
TUGU.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
IMAS.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
AGII.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
KEEN.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BNBA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BISI.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
BOLT.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
MARK.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
ASSA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
PRDA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
ARKO.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
SUNI.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
IPCC.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
MTMH.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
DATA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
CEKA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
WIIM.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
ASGR.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
PANR.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
PKPK.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
ITMA.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
FORU.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
PNSE.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
KARW.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
RIGS.JK,2024-11-18,,,,,,2024-11-18T15:00:00+07:00
